Game,2014,2019,2018,2015,2017,2013,N/A,2016,2020,Genre,North America,Europe,Japan,Rest of World,Global,Publisher
WWE 2K18,0,0,0,0,1,0,0,0,0,Sports,7.281553398058254,6.90010298661174,0.0,7.28476821192053,6.859205776173285,2K Sports
Lego Star Wars: The Force Awakens,0,0,0,0,0,0,0,1,0,Action-Adventure,4.8543689320388355,8.03295571575695,0.9216589861751154,6.622516556291392,6.756059824651883,Warner Bros. Interactive Entertainment
EA Sports UFC 2,0,0,0,0,0,0,0,1,0,Sports,7.119741100323625,6.694129763130792,0.0,6.95364238410596,6.756059824651883,EA Sports
The Last Guardian,0,0,0,0,0,0,0,1,0,Action-Adventure,6.472491909385115,5.973223480947476,5.99078341013825,6.291390728476821,6.652913873130479,Sony Interactive Entertainment
WWE 2K16,0,0,0,1,0,0,0,0,0,Sports,6.957928802588997,6.694129763130792,0.0,6.95364238410596,6.652913873130479,Take-Two Interactive
Borderlands: The Handsome Collection,0,0,0,1,0,0,0,0,0,Shooter,11.165048543689318,3.5015447991761066,1.3824884792626728,7.28476821192053,6.601340897369777,2K Games
Project CARS,0,0,0,1,0,0,0,0,0,Racing,4.692556634304208,7.826982492276003,1.8433179723502309,6.291390728476821,6.601340897369777,Bandai Namco Games
WWE 2K17,0,0,0,0,0,0,0,1,0,Sports,5.177993527508091,7.209062821833161,0.0,6.291390728476821,6.2919030428055684,2K Games
Guitar Hero Live,0,0,0,1,0,0,0,0,0,Music,8.414239482200648,5.046343975283213,0.0,6.622516556291392,6.240330067044868,Activision
Metal Gear Solid: Ground Zeroes,1,0,0,0,0,0,0,0,0,Action-Adventure,5.825242718446603,5.1493305870236865,7.83410138248848,5.629139072847683,6.188757091284167,Konami Digital Entertainment
Mad Max (2013),0,0,0,1,0,0,0,0,0,Action,6.148867313915859,6.076210092687949,2.3041474654377883,6.291390728476821,6.188757091284167,Warner Bros. Interactive Entertainment
Shadow of the Colossus,0,0,1,0,0,0,0,0,0,Action-Adventure,7.119741100323625,5.355303810504634,2.3041474654377883,6.291390728476821,6.188757091284167,Sony Interactive Entertainment
Kingdom Hearts HD 2.8 Final Chapter Prologue,0,0,0,0,1,0,0,0,0,Role-Playing,9.223300970873785,2.5746652935118433,9.216589861751155,5.629139072847683,6.188757091284167,Square Enix
Dragon Ball: XenoVerse,0,0,0,1,0,0,0,0,0,Fighting,5.33980582524272,5.664263645726056,6.451612903225809,5.629139072847683,6.137184115523466,Namco Bandai Games
LEGO Dimensions,0,0,0,1,0,0,0,0,0,Action,7.766990291262136,5.1493305870236865,0.0,6.622516556291392,6.085611139762763,Warner Bros. Interactive Entertainment
LEGO Jurassic World,0,0,0,1,0,0,0,0,0,Action,6.63430420711974,5.76725025746653,0.9216589861751154,6.291390728476821,6.085611139762763,Warner Bros. Interactive Entertainment
WWE 2K15,1,0,0,0,0,0,0,0,0,Sports,6.472491909385115,5.870236869207002,0.0,6.291390728476821,5.98246518824136,2K Sports
MLB The Show 17,0,0,0,0,1,0,0,0,0,Sports,15.210355987055015,0.0,0.0,7.28476821192053,5.98246518824136,Sony Interactive Entertainment
LEGO Worlds,0,0,0,0,1,0,0,0,0,Misc,3.3980582524271847,7.415036045314109,1.8433179723502309,5.629139072847683,5.879319236719958,Warner Bros. Interactive Entertainment
The Elder Scrolls V: Skyrim PSVR,0,0,0,0,1,0,0,0,0,Role-Playing,7.605177993527508,4.840370751802264,0.46082949308755783,6.291390728476821,5.827746260959256,Bethesda Softworks
LEGO Marvel Super Heroes 2,0,0,0,0,1,0,0,0,0,Action,5.33980582524272,6.179196704428423,0.0,5.960264900662251,5.724600309437854,Warner Bros. Interactive Entertainment
EA Sports UFC,1,0,0,0,0,0,0,0,0,Fighting,7.9288025889967635,4.4284243048403695,0.46082949308755783,5.960264900662251,5.724600309437854,Electronic Arts
Final Fantasy XII: The Zodiac Age,0,0,0,0,1,0,0,0,0,Role-Playing,5.987055016181231,4.222451081359423,7.3732718894009235,4.966887417218543,5.673027333677153,Square Enix
Alien: Isolation,1,0,0,0,0,0,0,0,0,Adventure,4.692556634304208,6.076210092687949,2.3041474654377883,5.298013245033113,5.621454357916452,Sega
MLB The Show 18,0,0,1,0,0,0,0,0,0,Sports,13.915857605177994,0.0,0.0,6.622516556291392,5.466735430634348,Sony Interactive Entertainment
The Evil Within II,0,0,0,0,1,0,0,0,0,Action,5.016181229773464,5.046343975283213,4.147465437788019,4.966887417218543,5.415162454873646,Bethesda Softworks
Prey (2017),0,0,0,0,1,0,0,0,0,Shooter,4.045307443365696,6.385169927909371,0.9216589861751154,5.298013245033113,5.363589479112944,Bethesda Softworks
Final Fantasy Type-0,0,0,0,1,0,0,0,0,0,Role-Playing,6.472491909385115,3.3985581874356328,7.3732718894009235,4.966887417218543,5.363589479112944,Square Enix
Ni-Oh,0,0,0,0,1,0,0,0,0,Action,5.501618122977347,3.7075180226570534,9.216589861751155,4.635761589403974,5.312016503352243,Tecmo Koei
MLB 15: The Show,0,0,0,1,0,0,0,0,0,Sports,12.135922330097088,0.82389289392379,0.0,6.291390728476821,5.208870551830841,Sony Computer Entertainment
Steep,0,0,0,0,0,0,0,1,0,Sports,3.721682847896441,6.179196704428423,0.9216589861751154,4.966887417218543,5.208870551830841,Ubisoft
LEGO Marvel's Avengers,0,0,0,0,0,0,0,1,0,Action,5.016181229773464,5.458290422245108,0.46082949308755783,5.298013245033113,5.208870551830841,Warner Bros. Interactive Entertainment
Evolve,0,0,0,1,0,0,0,0,0,Shooter,6.148867313915859,4.222451081359423,2.3041474654377883,5.298013245033113,5.208870551830841,2K Games
Injustice: Gods Among Us,0,0,0,0,0,1,0,0,0,Fighting,7.443365695792882,3.6045314109165805,0.0,5.629139072847683,5.0541516245487355,Warner Bros. Interactive Entertainment
EA Sports UFC 3,0,0,1,0,0,0,0,0,0,Sports,6.472491909385115,4.222451081359423,0.46082949308755783,5.298013245033113,5.002578648788035,EA Sports
Madden NFL 25,0,0,0,0,0,1,0,0,0,Sports,10.355987055016183,1.5447991761071058,0.0,5.629139072847683,4.951005673027333,EA Sports
MLB 16: The Show,0,0,0,0,0,0,0,1,0,Sports,12.621359223300972,0.0,0.0,5.960264900662251,4.951005673027333,Sony Computer Entertainment
Lego Batman 3: Beyond Gotham,1,0,0,0,0,0,0,0,0,Action,5.987055016181231,4.325437693099897,0.0,5.298013245033113,4.84785972150593,Warner Bros. Interactive Entertainment
Final Fantasy X/X-2 HD Remaster,0,0,0,1,0,0,0,0,0,Role-Playing,5.501618122977347,3.7075180226570534,3.2258064516129044,4.635761589403974,4.641567818463125,Square Enix
Ni no Kuni II: Revenant Kingdom,0,0,1,0,0,0,0,0,0,Role-Playing,5.33980582524272,3.1925849639546855,5.529953917050691,4.304635761589404,4.589994842702423,Namco Bandai Games
God of War III,0,0,0,1,0,0,0,0,0,Action,6.472491909385115,3.3985581874356328,0.9216589861751154,4.966887417218543,4.589994842702423,Sony Computer Entertainment
Fortnite,0,0,0,0,1,0,0,0,0,Action,6.7961165048543695,3.29557157569516,0.0,4.966887417218543,4.589994842702423,Gearbox Software
LEGO Harry Potter Collection,0,0,0,0,0,0,0,1,0,Action,1.1326860841423954,7.003089598352213,0.0,4.304635761589404,4.5384218669417224,Warner Bros. Interactive Entertainment
Minecraft: Story Mode,0,0,0,1,0,0,0,0,0,Adventure,5.016181229773464,4.325437693099897,0.0,4.635761589403974,4.486848891181021,Mojang
